people_id,roles_id
honchris-bishop,minister-of-transport
james-meager,associate-minister-of-transport
martin-sawyers,chief-executive
david-clarke,chief-commissioner
honsimeon-brown,minister-for-state-owned-enterprises
sirjohn-clarke,chief-executive
drkeith-turner,chair
honnicola-willis,minister-of-finance
honpaul-goldsmith,minister-for-treaty-of-waitangi-negotiations
sirbrian-roche,chair
murray-strong,commissioner
merran-davis,interim-chief-executive
ben-vanderkolk,chair
dramanda-lynn,chief-executive
profjan-thomas,chair
cheryl-de-la-rey,deputy-chair
chris-whelan,chief-executive
drbronwen-kelly,deputy-chief-executive-portfolio-manager-research-and-planning-systems
professordawn-freshwater,vice-chancellor
cecilia-tarrant,chancellor
cheryl-de-la-rey,vice-chancellor
susan-mccormack,chancellor
professor-david-murdoch,vice-chancellor
stephen-higgs,chancellor
rt-hon-siranand-satyanand,chancellor
professorneil-quigley,vice-chancellor
wayne-guppy,mayor
peter-kelly,chief-executive
neill-sullivan,valuer-general
honchris-penk,minister-for-veterans
profgrant-guilford,vice-chancellor
neil-paviour-smith,chancellor
jacqui-church,mayor
gavin-ion,chief-executive
barry-harris,chair
dave-christiansen,acting-chief-executive
chris-mclay,chief-executive
barry-quayle,chairperson
jeff-millward,acting-chief-executive
dan-gordon,mayor
stuart-duncan,chief-executive
craig-rowley,mayor
susan-oregan,mayor
garry-dyet,chief-executive
kitea-tipuna,chief-executive
craig-little,mayor
alex-parmley,chief-executive
gary-kircher,mayor
ben-smit,chief-executive
john-robertson,mayor
tory-whanau,mayor
matt-prosser,chief-executive
phil-teal,chief-executive
paul-dewar,chairman
hontama-potaka,minister-of-conservation
dean-kelly,manager
andy-harris,chairperson
heather-mabin,chief-executive
allan-birchfield,chair
james-denyer,mayor
john-holyoake,chief-executive
john-snook,chief-executive
robin-brockie,chair
helen-lash,mayor
simon-bastion,chief-executive
honlouise-upston,minister-for-disability-issues
paula-tesoriero,chief-executive
victor-luca,mayor
steph-o-sullivan,chief-executive
andrew-tripe,mayor
david-langford,chief-executive
vince-cocurullo,mayor
simon-weston,chief-executive
chris-gosling,chief-executive
drneil-barns,commissioner
honbrooke-van-velden,minister-for-workplace-relations-and-safety
steve-haszard,chief-executive
jennifer-kerr,chair
