organisations_id,roles_id
new-zealand-green-investment-finance-limited,chair
new-zealand-lotteries-commission,minister-of-internal-affairs
new-zealand-lotteries-commission,chief-executive
new-zealand-lotteries-commission,chair
new-zealand-lottery-grants-board,minister-of-internal-affairs
new-zealand-parole-board,chairperson
new-zealand-police,associate-minister-of-police
new-zealand-police,minister-of-police
new-zealand-police,commissioner-of-police
new-zealand-post-limited,minister-for-state-owned-enterprises
new-zealand-post-limited,chair
new-zealand-post-limited,chief-executive-officer
new-zealand-productivity-commission,minister-of-finance
new-zealand-productivity-commission,associate-minister-of-finance
new-zealand-productivity-commission,general-manager
new-zealand-productivity-commission,chairperson
new-zealand-qualifications-authority,minister-of-education
new-zealand-qualifications-authority,chief-executive
new-zealand-qualifications-authority,board-chair
new-zealand-railways-corporation,minister-for-state-owned-enterprises
new-zealand-railways-corporation,chair
new-zealand-security-intelligence-service,minister-responsible-for-the-nzsis
new-zealand-security-intelligence-service,director-general-of-security
new-zealand-symphony-orchestra,minister-for-arts-culture-and-heritage
new-zealand-symphony-orchestra,chair
new-zealand-symphony-orchestra,chief-executive
new-zealand-tourism-board,minister-for-tourism-and-hospitality
new-zealand-tourism-board,chair
new-zealand-tourism-board,chief-executive
new-zealand-trade-and-enterprise,minister-for-trade-and-investment
new-zealand-trade-and-enterprise,minister-for-economic-development
new-zealand-trade-and-enterprise,minister-of-state-for-trade
new-zealand-trade-and-enterprise,chief-executive
new-zealand-transport-agency,minister-of-transport
new-zealand-transport-agency,associate-minister-of-transport
new-zealand-transport-agency,chief-executive
new-zealand-transport-agency,chair
ngai-tahu-ancillary-claims-trust,minister-for-treaty-of-waitangi-negotiations
ngai-tahu-ancillary-claims-trust,chairperson
ngai-tahu-ancillary-claims-trust,chief-executive
niwa,chief-executive
niwa,chair
north-canterbury-fish-and-game-council,minister-of-conservation
north-canterbury-fish-and-game-council,chief-executive
north-canterbury-fish-and-game-council,chair
northland-fish-and-game-council,minister-of-conservation
northland-fish-and-game-council,manager
northland-fish-and-game-council,chairperson
northland-regional-council,chief-executive
northland-regional-council,chairperson
northtec,chairperson
northtec,acting-chief-executive
nz-growth-capital-partners-limited,chief-executive
nz-on-air,minister-for-media-and-communications
nz-on-air,parliamentary-under-secretary-to-the-minister-for-media-and-communications
nz-on-air,chief-executive
nz-on-air,chair
office-for-seniors,minister-for-seniors
office-of-film-and-literature-classification,minister-of-internal-affairs
office-of-film-and-literature-classification,chief-censor
office-of-human-rights-proceedings,director
office-of-the-clerk-of-the-house-of-representatives,clerk-of-the-house
office-of-the-ombudsmen,chief-ombudsman
open-polytechnic-of-new-zealand,chairperson
open-polytechnic-of-new-zealand,chief-executive
opotiki-district-council,mayor
opotiki-district-council,chief-executive
oranga-tamariki-ministry-for-children,minister-for-children
oranga-tamariki-ministry-for-children,acting-chief-executive
otago-fish-and-game-council,minister-of-conservation
otago-fish-and-game-council,chairperson
otago-fish-and-game-council,chief-executive
otago-polytechnic,chief-executive
otago-polytechnic,chairperson
otago-regional-council,chairperson
otago-regional-council,chief-executive
otakaro-limited,chairperson
otakaro-limited,chief-executive
otorohanga-district-council,chief-executive
otorohanga-district-council,mayor
pacific-business-trust,minister-for-pacific-peoples
pacific-business-trust,chief-executive-officer
pacific-business-trust,chairperson
pacific-co-operation-foundation,minister-of-foreign-affairs
pacific-co-operation-foundation,chairperson
palmerston-north-city-council,acting-chief-executive
palmerston-north-city-council,mayor
parliamentary-counsel-office,attorney-general
parliamentary-counsel-office,chief-parliamentary-counsel
parliamentary-service,general-manager
peke-waihanga-artificial-limb-service,minister-for-social-development-and-employment
peke-waihanga-artificial-limb-service,minister-for-disability-issues
peke-waihanga-artificial-limb-service,associate-minister-for-social-development-and-employment
peke-waihanga-artificial-limb-service,chief-executive
peke-waihanga-artificial-limb-service,chair
pharmaceutical-management-agency,minister-of-health
pharmaceutical-management-agency,associate-minister-of-health
pharmaceutical-management-agency,associate-minister-of-health-pharmac
pharmaceutical-management-agency,chair
pharmaceutical-management-agency,chief-executive
plant-and-food-research,acting-chair
plant-and-food-research,chief-executive-officer
porirua-city-council,mayor
porirua-city-council,chief-executive
predator-free-2050,chief-executive-officer
predator-free-2050,board-chair
privacy-commissioner,minister-of-justice
privacy-commissioner,privacy-commissioner
privacy-commissioner,general-manager
privacy-commissioner,deputy-privacy-commissioner
public-service-commission,minister-for-the-public-service
public-service-commission,acting-public-service-commissioner
public-trust,minister-of-justice
public-trust,chair
public-trust,chief-executive-officer
qeii-national-trust,minister-of-conservation
qeii-national-trust,chair
qeii-national-trust,chief-executive
queenstown-lakes-district-council,mayor
queenstown-lakes-district-council,chief-executive
quotable-value-limited,minister-for-state-owned-enterprises
quotable-value-limited,chief-executive
quotable-value-limited,chair
radio-new-zealand-limited,minister-for-media-and-communications
radio-new-zealand-limited,parliamentary-under-secretary-to-the-minister-for-media-and-communications
radio-new-zealand-limited,chief-executive
radio-new-zealand-limited,chair
rangitikei-district-council,chief-executive
rangitikei-district-council,mayor
real-estate-authority,minister-of-justice
real-estate-authority,chairperson
remuneration-authority,chairperson
research-and-education-advanced-network-new-zealand,chief-executive
research-and-education-advanced-network-new-zealand,board-chair
reserve-bank-of-new-zealand,minister-of-finance
reserve-bank-of-new-zealand,associate-minister-of-finance
reserve-bank-of-new-zealand,acting-governor
reserve-bank-of-new-zealand,chairperson
rotorua-lakes-council,chief-executive
rotorua-lakes-council,mayor
ruapehu-district-council,mayor
ruapehu-district-council,chief-executive
scion,chief-executive-officer
scion,board-chair
selwyn-district-council,chief-executive
selwyn-district-council,mayor
serious-fraud-office,associate-minister-of-police
serious-fraud-office,minister-of-police
serious-fraud-office,chief-executive-and-director
social-investment-agency,minister-for-social-investment
social-investment-agency,chief-executive
social-workers-registration-board,minister-for-social-development-and-employment
social-workers-registration-board,associate-minister-for-social-development-and-employment
social-workers-registration-board,registrar
social-workers-registration-board,chief-executive
social-workers-registration-board,chair
south-taranaki-district-council,mayor
south-taranaki-district-council,chief-executive
south-waikato-district-council,mayor
south-waikato-district-council,interim-chief-executive
south-wairarapa-district-council,chief-executive
south-wairarapa-district-council,mayor
southern-response-earthquake-services-limited,chair
southern-response-earthquake-services-limited,chief-executive
southland-district-council,mayor
southland-district-council,chief-executive
southland-fish-and-game-council,minister-of-conservation
southland-fish-and-game-council,manager
southland-fish-and-game-council,chairperson
sport-new-zealand,associate-minister-for-sport-and-recreation
sport-new-zealand,minister-for-sport-and-recreation
sport-new-zealand,chief-executive
sport-new-zealand,chair
statistics-new-zealand,minister-of-statistics
statistics-new-zealand,acting-chief-executive-and-government-statistician
stratford-district-council,chief-executive
stratford-district-council,mayor
tai-poutini-polytechnic,chair
tairawhiti-polytechnic,chief-executive
tairawhiti-polytechnic,chair
takeovers-panel,chief-executive
takeovers-panel,chairperson
tamaki-redevelopment-company,minister-of-housing
tamaki-redevelopment-company,chair
tamaki-redevelopment-company,chief-executive
taranaki-fish-and-game-council,minister-of-conservation
taranaki-fish-and-game-council,chief-executive
taranaki-fish-and-game-council,chairman
taranaki-regional-council,chief-executive
taranaki-regional-council,chairperson
tararua-district-council,chief-executive
tararua-district-council,mayor
tasman-district-council,chief-executive
tasman-district-council,mayor
taumata-arowai,minister-of-local-government
taumata-arowai,chief-executive
taupo-district-council,chief-executive
taupo-district-council,mayor
tauranga-city-council,mayor
te-aho-o-te-kahu,minister-of-health
te-aho-o-te-kahu,associate-minister-of-health
te-aho-o-te-kahu,
te-aho-o-te-kahu,chief-executive
te-ara-ahunga-ora-retirement-commission,retirement-commissioner
te-kura,chief-executive
te-kura,chair
te-mangai-paho,minister-for-maori-development
te-mangai-paho,kaihautu
te-mangai-paho,chair
te-matawai,minister-for-maori-development
te-matawai,ceo
te-matawai,co-chair
te-pukenga,minister-of-education
te-pukenga,minister-for-vocational-education
te-pukenga,chief-executive
te-pukenga,chair
